Trial,Reward,Cumulative Reward,Win Rate,Actual Reward
403,0.0,155.0,0.38461538461538464,3
404,0.0,155.0,0.38366336633663367,4
405,0.0,155.0,0.38271604938271603,1
406,1.0,156.0,0.3842364532019704,2
407,0.0,156.0,0.3832923832923833,3
408,0.0,156.0,0.38235294117647056,4
409,0.0,156.0,0.38141809290953543,1
410,0.0,156.0,0.3804878048780488,2
411,1.0,157.0,0.3819951338199513,3
412,1.0,158.0,0.38349514563106796,4
413,0.0,158.0,0.38256658595641646,1
414,1.0,159.0,0.38405797101449274,2
415,1.0,160.0,0.3855421686746988,3
416,0.0,160.0,0.38461538461538464,4
417,0.0,160.0,0.38369304556354916,1
418,1.0,161.0,0.38516746411483255,2
419,0.0,161.0,0.38424821002386633,3
420,1.0,162.0,0.38571428571428573,4
421,0.0,162.0,0.3847980997624703,1
422,1.0,163.0,0.3862559241706161,2
423,0.0,163.0,0.38534278959810875,3
424,0.0,163.0,0.38443396226415094,4
425,0.0,163.0,0.3835294117647059,1
426,0.0,163.0,0.3826291079812207,2
427,1.0,164.0,0.3840749414519906,3
428,1.0,165.0,0.3855140186915888,4
429,0.0,165.0,0.38461538461538464,1
430,0.0,165.0,0.38372093023255816,2
431,0.0,165.0,0.382830626450116,3
432,0.0,165.0,0.3819444444444444,4
433,0.0,165.0,0.3810623556581986,1
434,1.0,166.0,0.3824884792626728,2
435,1.0,167.0,0.3839080459770115,3
436,0.0,167.0,0.3830275229357798,4
437,0.0,167.0,0.38215102974828374,1
438,0.0,167.0,0.3812785388127854,2
439,0.0,167.0,0.3804100227790433,3
440,0.0,167.0,0.3795454545454545,4
441,0.0,167.0,0.3786848072562358,1
442,0.0,167.0,0.3778280542986425,2
443,0.0,167.0,0.37697516930022573,3
444,1.0,168.0,0.3783783783783784,4
445,0.0,168.0,0.3775280898876405,1
446,0.0,168.0,0.37668161434977576,2
447,1.0,169.0,0.378076062639821,3
448,1.0,170.0,0.3794642857142857,4
449,1.0,171.0,0.38084632516703787,1
450,0.0,171.0,0.38,2
451,1.0,172.0,0.38137472283813745,3
452,0.0,172.0,0.3805309734513274,4
453,1.0,173.0,0.3818984547461369,1
454,0.0,173.0,0.381057268722467,2
455,1.0,174.0,0.3824175824175824,3
456,0.0,174.0,0.3815789473684211,4
457,0.0,174.0,0.38074398249452956,1
458,1.0,175.0,0.38209606986899564,2
459,0.0,175.0,0.3812636165577342,3
460,0.0,175.0,0.3804347826086957,4
461,0.0,175.0,0.3796095444685466,1
462,0.0,175.0,0.3787878787878788,2
463,0.0,175.0,0.3779697624190065,3
464,0.0,175.0,0.3771551724137931,4
465,0.0,175.0,0.3763440860215054,1
466,1.0,176.0,0.3776824034334764,2
467,0.0,176.0,0.37687366167023556,3
468,0.0,176.0,0.37606837606837606,4
469,0.0,176.0,0.3752665245202559,1
470,1.0,177.0,0.37659574468085105,2
471,0.0,177.0,0.37579617834394907,3
472,1.0,178.0,0.3771186440677966,4
473,0.0,178.0,0.3763213530655391,1
474,0.0,178.0,0.3755274261603376,2
475,1.0,179.0,0.37684210526315787,3
476,0.0,179.0,0.3760504201680672,4
477,0.0,179.0,0.3752620545073375,1
478,1.0,180.0,0.37656903765690375,2
479,1.0,181.0,0.3778705636743215,3
480,1.0,182.0,0.37916666666666665,4
481,0.0,182.0,0.3783783783783784,1
482,0.0,182.0,0.3775933609958506,2
483,0.0,182.0,0.37681159420289856,3
484,1.0,183.0,0.378099173553719,4
485,0.0,183.0,0.37731958762886597,1
486,0.0,183.0,0.3765432098765432,2
487,1.0,184.0,0.37782340862423,3
488,1.0,185.0,0.3790983606557377,4
489,0.0,185.0,0.3783231083844581,1
490,0.0,185.0,0.37755102040816324,2
491,0.0,185.0,0.37678207739307534,3
492,0.0,185.0,0.37601626016260165,4
493,1.0,186.0,0.3772819472616633,1
494,1.0,187.0,0.3785425101214575,2
495,0.0,187.0,0.37777777777777777,3
496,1.0,188.0,0.3790322580645161,4
497,0.0,188.0,0.3782696177062374,1
498,1.0,189.0,0.3795180722891566,2
499,0.0,189.0,0.3787575150300601,3
500,0.0,189.0,0.378,4
501,0.0,189.0,0.3772455089820359,1
502,0.0,189.0,0.37649402390438247,2
503,0.0,189.0,0.3757455268389662,3
504,0.0,189.0,0.375,4
505,1.0,190.0,0.37623762376237624,1
506,0.0,190.0,0.37549407114624506,2
507,1.0,191.0,0.3767258382642998,3
508,1.0,192.0,0.3779527559055118,4
509,1.0,193.0,0.3791748526522593,1
510,0.0,193.0,0.3784313725490196,2
511,0.0,193.0,0.3776908023483366,3
512,1.0,194.0,0.37890625,4
513,0.0,194.0,0.37816764132553604,1
514,0.0,194.0,0.377431906614786,2
515,0.0,194.0,0.3766990291262136,3
516,0.0,194.0,0.375968992248062,4
517,0.0,194.0,0.37524177949709864,1
518,1.0,195.0,0.3764478764478765,2
519,1.0,196.0,0.37764932562620424,3
520,1.0,197.0,0.37884615384615383,4
521,0.0,197.0,0.3781190019193858,1
522,0.0,197.0,0.3773946360153257,2
523,1.0,198.0,0.37858508604206503,3
524,1.0,199.0,0.3797709923664122,4
525,1.0,200.0,0.38095238095238093,1
526,1.0,201.0,0.3821292775665399,2
527,1.0,202.0,0.38330170777988615,3
528,0.0,202.0,0.38257575757575757,4
529,0.0,202.0,0.3818525519848771,1
530,0.0,202.0,0.38113207547169814,2
531,1.0,203.0,0.3822975517890772,3
532,1.0,204.0,0.38345864661654133,4
533,1.0,205.0,0.38461538461538464,1
534,0.0,205.0,0.3838951310861423,2
535,1.0,206.0,0.3850467289719626,3
536,1.0,207.0,0.38619402985074625,4
537,0.0,207.0,0.3854748603351955,1
538,1.0,208.0,0.38661710037174724,2
539,0.0,208.0,0.38589981447124305,3
540,0.0,208.0,0.3851851851851852,4
541,0.0,208.0,0.3844731977818854,1
542,0.0,208.0,0.3837638376383764,2
543,1.0,209.0,0.3848987108655617,3
544,0.0,209.0,0.38419117647058826,4
545,0.0,209.0,0.3834862385321101,1
546,0.0,209.0,0.38278388278388276,2
547,0.0,209.0,0.3820840950639854,3
548,1.0,210.0,0.38321167883211676,4
549,0.0,210.0,0.3825136612021858,1
550,0.0,210.0,0.38181818181818183,2
551,0.0,210.0,0.3811252268602541,3
552,0.0,210.0,0.3804347826086957,4
553,0.0,210.0,0.379746835443038,1
554,1.0,211.0,0.38086642599277976,2
